epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3144.53,0.97455,0.65094,1.05117,0.84185,0.6827,0.77809,0.52661,1.19636,0.8595,1.17822,0.00035,0.00035,0.00035
127,3169.41,0.99034,0.6629,1.04278,0.79033,0.69993,0.77158,0.52045,1.20332,0.85955,1.18983,0.0003368,0.0003368,0.0003368
128,3194.57,1.0045,0.66051,1.05145,0.81739,0.66838,0.76349,0.51651,1.19777,0.86748,1.18537,0.0003236,0.0003236,0.0003236
129,3219.81,0.99842,0.64986,1.04312,0.7908,0.70283,0.77339,0.5205,1.20823,0.85416,1.18475,0.0003104,0.0003104,0.0003104
130,3243.6,0.97584,0.64727,1.04363,0.81609,0.69203,0.77361,0.52196,1.20671,0.85247,1.1873,0.0002972,0.0002972,0.0002972
131,3268.34,0.98407,0.64669,1.03133,0.80742,0.69562,0.77234,0.52216,1.19228,0.85032,1.18185,0.000284,0.000284,0.000284
132,3293.44,0.97232,0.6426,1.04127,0.80451,0.69275,0.77159,0.52012,1.20097,0.8515,1.18827,0.0002708,0.0002708,0.0002708
133,3318.45,0.98763,0.64847,1.04369,0.81649,0.68772,0.77091,0.52057,1.20628,0.85789,1.19108,0.0002576,0.0002576,0.0002576
134,3343.39,0.94975,0.63587,1.04487,0.80984,0.68788,0.77043,0.52001,1.20459,0.84521,1.19589,0.0002444,0.0002444,0.0002444
135,3367.88,0.98306,0.64372,1.03988,0.80314,0.69347,0.76828,0.52,1.2022,0.84869,1.19581,0.0002312,0.0002312,0.0002312
136,3392.78,0.95797,0.63099,1.0335,0.79142,0.69921,0.7653,0.51612,1.21064,0.85883,1.20341,0.000218,0.000218,0.000218
137,3417.99,0.95726,0.6345,1.02644,0.79644,0.69849,0.77023,0.51686,1.22674,0.85319,1.20536,0.0002048,0.0002048,0.0002048
138,3443.12,0.96187,0.62822,1.03412,0.81594,0.69347,0.76962,0.51962,1.22267,0.85635,1.20628,0.0001916,0.0001916,0.0001916
139,3467.75,0.97604,0.63855,1.0449,0.79467,0.70495,0.76994,0.51922,1.2071,0.8523,1.19273,0.0001784,0.0001784,0.0001784
140,3492.62,0.9529,0.61035,1.02257,0.8083,0.68701,0.76272,0.5184,1.20194,0.86862,1.18727,0.0001652,0.0001652,0.0001652
141,3521.66,0.92385,0.60622,1.01665,0.78639,0.68978,0.75729,0.51294,1.19289,0.87368,1.18677,0.000152,0.000152,0.000152
142,3546.54,0.89818,0.56011,0.99968,0.8079,0.68055,0.76268,0.51501,1.20569,0.84364,1.1996,0.0001388,0.0001388,0.0001388
143,3570.93,0.89016,0.54514,1.00444,0.83042,0.67143,0.76292,0.5148,1.19446,0.85353,1.18767,0.0001256,0.0001256,0.0001256
144,3594.4,0.88205,0.55296,0.99061,0.82744,0.67552,0.76453,0.51777,1.20054,0.85119,1.19234,0.0001124,0.0001124,0.0001124
145,3618.75,0.89309,0.55423,1.01028,0.79665,0.68772,0.7641,0.51754,1.1986,0.86438,1.19158,9.92e-05,9.92e-05,9.92e-05
146,3643.51,0.87217,0.53554,0.98416,0.82057,0.67337,0.76344,0.51922,1.19625,0.86269,1.1954,8.6e-05,8.6e-05,8.6e-05
147,3667.2,0.89352,0.53297,0.98797,0.79816,0.69347,0.76408,0.51876,1.19115,0.85665,1.19044,7.28e-05,7.28e-05,7.28e-05
148,3690.92,0.90133,0.55255,0.98804,0.81378,0.69131,0.76553,0.52215,1.1895,0.85044,1.18859,5.96e-05,5.96e-05,5.96e-05
149,3714.65,0.87186,0.53646,0.98182,0.80995,0.69419,0.76727,0.52176,1.19825,0.84562,1.194,4.64e-05,4.64e-05,4.64e-05
150,3738.43,0.87476,0.54164,0.98531,0.82222,0.67767,0.76845,0.52418,1.19258,0.84628,1.18969,3.32e-05,3.32e-05,3.32e-05
